"context","source","target"
"AbilityAndSkillFormat","{0} ({1})"
"ConditionInvisibleGreaterTitle","Invisible (Greater)"
"ConditionStoneskinDescription","Resistance to non-magical bludgeoning, slashing, and piercing damage."
"ConditionStoneskinTitle","Stoneskin"
"ConditionFrightenedPhantasmalKillerDescription","The creature is frightened and receives psychic damage each turn until it succeeds on a saving throw."
"ConditionFrightenedPhantasmalKillerTitle","Frightened by Phantasm"
"ConditionFireShieldWarmDescription","Resistant to cold and retaliates with fire damage against melee attackers."
"ConditionFireShieldColdDescription","Resistant to fire and retaliates with cold damage against melee attackers."
"ConditionDeathWardedTitle","Death Warded"
"ConditionDeathWardedDescription","When reduced to 0 hit points, HP is set to 1 instead, preventing instant death from massive damage or effects."
"ConditionConfusedTitle","Confused"
"ConditionConfusedDescription","At the start of this turn, the creature can move away, not act at all, melee attack a target within reach, or act normally."
"ConditionBanishedTitle","Banished"
"ConditionBanishedDescription","The creature is removed from the game for the duration of the spell, unless the spell is broken before then. If the spell remains unbroken for its entire duration, the creature is permanently banished if it is extraplanar (celestial, fiend, elemental)."
"SpecialBehaviourConditionDuringTurnFormat","{3} is affected during the turn."
"SpecialBehaviourNoneFormat","{3} acts normally."
"ConditionConfusedAttackTitle","Randomly Attacking"
"ConditionConfusedAttackDescription","The creature must use its action to randomly attack a creature within its reach if possible."
"ConditionConfusedMoveTitle","Randomly Moving"
"ConditionConfusedMoveDescription","The creature must move in a random direction."
"ConditionConfusedIncapacitatedTitle","Incapacitated"
"ConditionConfusedIncapacitatedDescription","The creature cannot do anything due to its confusion."
"ConditionFeatRaiseShieldDescription","You get +3 AC until the end of the attacker's turn."
"ConditionFeatRaiseShieldTitle","Raised Shield"
"ConditionFeatTwinBladeDescription","You get +3 AC until the end of the attacker's turn."
"ConditionFeatTwinBladeTitle","Twin Blade Block"
"DurationTurnSingleFormat","{0} turn"
"DurationTurnPluralFormat","{0} turns"
"ConditionFeatTakeAimDescription","Your ranged weapon attacks have no disadvantage or advantage, no matter the conditions."
"ConditionFeatTakeAimTitle","Taking Aim"
"ConditionFeatRushToBattleDescription","Your movement speed is increased by 3 cells and your AC is reduced by 2 until the start of your turn. "
"ConditionFeatRushToBattleTitle","Rushing to Battle"
"ConditionDispellingEvilAndGoodTitle","Dispelling Evil and Good"
"ConditionDispellingEvilAndGoodDescription","Celestial, elementals, feys, fiends, and undead have disadvantage on attacks against you. You can also cancel a hostile enchantment or dismiss an extraplanar creature hit by one of your attacks."
"ConditionMindControlledDescription","The creature is joining the controlling caster."
"ConditionMindDominatedDescription","The creature's actions are totally controlled by the caster."
"ConditionMindDominatedTitle","Mind Dominated"
"ConditionOnAcidTitle","Burned by Acid"
"ConditionPheromonedTitle","Pheromone Stink"
"ConditionPheromonedDescription","-3 to Charisma ability checks."
"ConditionOnAcidDescription","Take 1d3 acid damage at the end of your turn for 3 turns."
"ActivationTypePermanentTitle","Permanent"
"MonsterSpellcastingTitle","Spellcasting"
"MonsterSpellcastingDescription","The creature has the ability to cast spells."
"ConditionCalmedByCalmEmotionsEnemyTitle","Calmed Enemy"
"ConditionCalmedByCalmEmotionsEnemyDescription","The creature is indifferent towards enemies unless it is wounded."
"ConditionCalmedByCalmEmotionsAllyTitle","Calmed Ally"
"ConditionCalmedByCalmEmotionsAllyDescription","The creature cannot be charmed or frightened."
"ConditionArcaneShockedTitle","Arcane Shocked"
"ConditionArcaneShockedDescription","Your attack spells dice deal at least average damage."
"ConditionHidingInPlainSightTitle","Hiding in Plain Sight"
"ConditionHidingInPlainSightDescription","+10 DEX (Stealth) while you are standing against a wall."
"KillFormAlwaysFormat","Target creature is killed."
"KillFormUnderChallengeRatingFormat","Target creature is killed if its challenge rating is {0} or lower."
"KillFormUnderHitPointsFormat","Target creature is killed if its remaining hit points are equal to {0} or lower."
"ConditionSwallowedTitle","Swallowed"
"ConditionSwallowedRemorhazDescription","Cannot act and takes 6d6 acid damage each turn. A single attack of 30 damage can force the swallower to regurgitate."
"AlterationFormLightUpFormat","Ignites light sources."
"ReviveFormFormat","Revives a dead character"
"ConditionHeroismDescription","Cannot be frightened and regains temporary hit points every turn"
"RateD6_56FormatTitle","on 5 or 6 on 1d6"
"SpellSlotFormCreateSpellSlotFormat","Create a spell slot"
"SpellSlotFormCreateSorceryPointFormat","Creates sorcery points"
"MetamagicOptionCarefulSpellTitle","Careful Spell"
"MetamagicOptionCarefulSpellDescription","Allied creatures affected by the spell automatically succeed their saving throw"
"MetamagicOptionDistantSpellTitle","Distant Spell"
"MetamagicOptionDistantSpellDescription","Doubles the range of a spell or change the range of a touch spell to 30 feet"
"MetamagicOptionEmpoweredSpellTitle","Empowered Spell"
"MetamagicOptionEmpoweredSpellDescription","All damage dice rolls of 1 or 2 are rerolled, keeping the new result"
"MetamagicOptionExtendedSpellTitle","Extended Spell"
"MetamagicOptionExtendedSpellDescription","Doubles the duration of spell lasting 1 minute or more, to a maximum of 24 hours"
"MetamagicOptionHeightenedSpellTitle","Heightened Spell"
"MetamagicOptionHeightenedSpellDescription","Can force a creature to roll the saving throw with disadvantage"
"MetamagicOptionQuickenedSpellTitle","Quickened Spell"
"MetamagicOptionQuickenedSpellDescription","Can cast a main action spell with a bonus action instead, though you can't cast another spell during the same turn, except for cantrips."
"MetamagicOptionSubtleSpellTitle","Subtle Spell"
"MetamagicOptionSubtleSpellDescription","Can cast a sepll without verbal or somatic component"
"MetamagicOptionTwinnedSpellTitle","Twinned Spell"
"MetamagicOptionTwinnedSpellDescription","If the source spell targets one creature only, this adds another target"
"ConditionOnFire_Elemental_Title","On Fire from Fire Elemental"
"ConditionOnFire_Spider_Title","On Fire from Fire Osprey"
"ConditionOnFire_Osprey_Title","On Fire from Fire Spider"
"OrientationNorthTitle","North"
"OrientationEastTitle","East"
"OrientationSouthTitle","South"
"OrientationWestTitle","West"
"RateSorceryPointsFormatTitle","sorcery points"
"SpellSlotFormRecoverSorceryHalfLevelUpFormat","Recover sorcery points up to half your sorcerer level, rounded up"
"ConditionSorcererChildRiftDeflectionTitle","Rift Deflection"
"ConditionSorcererChildRiftDeflectionDescription","Enemies have disadvantage on attack rolls made against you and you gain advantage on saving throws, until the beginning of your next turn"
"RateHitPointsFormatTitle","sacrifice max hp"
"ConditionDisintegratedTitle","Disintegrated"
"ConditionDisintegratedDescription","The creature requires a Resurrection or similar effect to be revived"
"ConditionDiseasedHarmTitle","Harmed"
"ConditionDiseasedHarmDescription","Maximum hit points reduced for an hour or until an effect which cures diseases affects the target"
"AlterationFormFeastFormatSingle","The party feasts for {0} hour"
"AlterationFormFeastFormatPlural","The party feasts for {0} hours"
"ConditionHeroesFeastTitle","Well Fed"
"ConditionHeroesFeastDescription","Immune to poison and being frightened, advantage to WIS saves and current and max hit points increased by 10"
"EffectTargetArcFromIndividualTitle","1{0}+ {1}{2}({3}{4})"
"ConditionEyebiteSickenedTitle","Sickened"
"ConditionEyebiteSickenedDescription","Disadvantage to attack rolls and ability checks"
"ConditionFrightenedEyebitePanickedTitle","Pannicked"
"ConditionFrightenedEyebitePanickedDescription","Must run away from the source of the effect"
"ConditionRagingTitle","Raging"
"RateRagePointsFormatTitle","rage points"
