"context","source","target"
"_Item_RingOfProtection_plus_one_Title","Ring of Protection +1"
"Ingredient_SkarnPowder_Description","A brown powder made by crushing a rare crystal from the Badlands."
"Ingredient_SkarnPowder_Title","Skarn Powder"
"Ingredient_Slavestone_Description","Particularly prized by Manacalon slaves as their sharp edges made them ideal makeshift weapons during a revolt. Manacalon prized them for their enchantment power. "
"Ingredient_Slavestone_Title","Slavestone"
"Ingredient_Soul_Gem_Description","An ordinary stone enchanted with necromantic essence, it becomes a soulstone after absorbing the life essence of many victims. "
"Ingredient_Soul_Gem_Title","Soul Gem"
"Ingredient_Stardust_Description","This dust was collected by Manacalon arcanists from the remains of a meteor shower. The incredible materials it contains grant it magical powers, and it can be used to enchant items."
"Ingredient_Stardust_Title","Stardust"
"Ingredient_StormHeather_Description","A rare flower from the Badlands, said to grow where lightning has struck the ground."
"Ingredient_StormHeather_Title","Storm Heather"
"Ingredient_TrollAcanthus_Description","A very tough plant, said to regenerate when cut."
"Ingredient_TrollAcanthus_Title","Troll Acanthus"
"Ingredient_VenomGland_Description","Harvested from the corpse of a Badlands spider. It can be distilled to create a blade venom."
"Ingredient_VenomGland_Title","Spider Venom Gland"
"Item_Food_Ration_Description","A cloth sack with enough <#A95827>food for one day</color>: bread, dried meat, raw vegetables, and nuts."
"Item_Food_Ration_Title","Ration Pouch"
"ItemBrandingFormat","{0}'s {1}"
"ItemTypeAmmunitionTitle","Ammunition"
"ItemTypeArmorTitle","Armor ({0})"
"ItemTypeClothTitle","Clothing"
"ItemTypeContainerTitle","Container"
"ItemTypeLightSourceDescription","Bright {0} + Dim {1}"
"ItemTypeLightSourceTitle","Light Source"
"ItemTypePotionTitle","Potion"
"ItemTypeRingTitle","Ring"
"ItemTypeRodTitle","Rod"
"ItemTypeScrollTitle","Scroll"
"ItemTypeSpellbookTitle","Spellbook"
"ItemTypeSpellFocusTitle","Spell Focus"
"ItemTypeStaffTitle","Staff"
"ItemTypeStarterPackTitle","Starter Pack"
"ItemTypeToolTitle","Tool"
"ItemTypeWandTitle","Wand"
"ItemTypeWeaponTitle","Weapon"
"ItemTypeWondrousTitle","Wondrous Item"
"JavelinPlusOne","Javelin +1"
"JavelinTypeTitle","Javelin"
"LanceTypeTitle","Lance"
"LeatherArmorPlus+1_Title","Leather Armor +1"
"LeatherArmorPlus1_Description","This armor was used by scouts in the Manacalon army. It probably belonged to a noble soldier and is imbued with magic, providing additional defense."
"LeatherArmorPlus1_Unidentified_Description","This finely decorated armor bears the emblems of an old elvish family."
"LeatherArmorPlus1_Unidentified_Title","Magnificent Leather Armor"
"LiamsHeirloom_Description","This heirloom is a magnificent ruby, probably worth about 500 gp."
"LiamsHeirloom_Title","Liam's Heirloom"
"LightArmorCategoryDescription","Made from supple and thin materials, light armor favors agile adventurers since it offers some protection without sacrificing mobility."
"LightArmorCategoryTitle","Light Armor"
"LightCrossbowTypeTitle","Light Crossbow"
"LightHammerTypeTitle","Light Hammer"
"LongbowTypeTitle","Longbow"
"Longsword_plus_one_Description","A Tirmarian inquisitor's longsword, blessed with divine magic."
"Longsword_plus_one_Title","Longsword +1"
"Longsword_plus_one_Unidentified_Description","This finely decorated longsword, looks both ancient and valuable."
"Longsword_plus_one_Unidentified_Title","Magnificent Longsword"
"LongswordTypeTitle","Longsword"
"MaceTypeTitle","Mace"
"ManacalonRosaryDescription","This pendant is used to enchant items using primed materials created by the ancient Manacalon masters of magic. It is almost impossible to reproduce their rituals, but they may be completed by one who has the required skill and ingredients."
"ManacalonRosaryTitle","Manacalon Rosary"
"MartialWeaponCategoryDescription","These weapons require advanced training to handle without penalty."
"MartialWeaponCategoryTitle","Martial Weapons"
"MaulTypeTitle","Maul"
"MaxRangeTitle","Max Range"
"MediumArmorCategoryDescription","Medium armor offers more protection than light armor, but it also impairs movement more."
"MediumArmorCategoryTitle","Medium Armor"
"Morningstar_plus_1_Description","A finely decorated morningstar used by the Manacalon Imperial shock troops, imbued with magic."
"Morningstar_plus_1_Title","Manacalon Morningstar +1"
"Morningstar_plus_1_Unidentified_Description","This finely decorated morningstar is clearly a superior weapon."
"Morningstar_plus_1_Unidentified_Title","Magnificent Morningstar"
"MorningstarTypeTitle","Morningstar"
"MusicalInstrumentCategoryTitle","Musical Instrument ({0})"
"MusicalInstrumentLyreTypeDescription","If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency."
"MusicalInstrumentLyreTypeTitle","Lyre"
"NecklaceOfFireballsTitle","Necklace of Fireballs"
"NecklaceSpecialDescription","The quality of this necklace is above average."
"NecklaceSpecialTitle","Beautiful Necklace"
"NeedleTypeTitle","Blowgun Needle"
"NetTypeTitle","Net"
"NoArmorCategoryDescription","This kind of basic clothing does not offer any natural protection."
"NoArmorCategoryTitle","No Armor"
"OfOrcsAndMenContent","Reading this book gives you a deeper knowledge of the orcs and their nature."
"OfOrcsAndMenDescription","A book on the various tribes of orcs."
"OfOrcsAndMenHeader","The Orcs of Solasta"
"OfOrcsAndMenTitle","Of Orcs and Men"
"OgreJavelinTitle","Ogre Javelin"
"OrcArrowTypeTitle","Orc Arrow"
"OrcGreataxeTypeTitle","Orc Greataxe"
"OrcJavelinTitle","Orc Javelin"
"OrcMaceTypeTitle","Orc Mace"
"OrcShortbowTypeTitle","Orc Shortbow"
"PebbleThrowTypeTitle","Pebble"
"PikeTypeTitle","Pike"
"Poison_basicDescription","A simple chemical poison that deals damage."
"Poison_basicTitle","Basic Poison"
"Poison_DeepSpiderDescription","A poison distilled from the venom glands of deep spiders. Can be applied to weapons and ammunition to deal additional damage and slow an enemy."
"Poison_DeepSpiderTitle","Deep Spider Venom"
"Poison_SpiderDescription","A poison distilled from the venom glands of Badlands Spiders. Can be applied to weapons and ammunition for additional damage."
"Poison_SpiderTitle","Spider Venom"
"Poison_WinterWolfPeltDescription","This magical pelt may be used to craft an interesting item."
"Poison_WinterWolfPeltTitle","Winter Wolf Pelt"
"PoisonersKitToolTypeDescription","Contains the vials, chemicals, plants, and other equipment necessary for the creation of poisons. For some poisons, a creature's venom might also be required."
"PoisonersKitToolTypeTitle","Poisoner's Kit"
"PotionGiantStrengthCloudDescription","When you drink this potion, your STR becomes 27 for 1 hour."
"PotionGiantStrengthCloudTitle","Potion of Giant Strength (Cloud)"
"PotionGiantStrengthFireDescription","When you drink this potion, your STR becomes 25 for 1 hour."
"PotionGiantStrengthFireTitle","Potion of Giant Strength (Fire)"
"PotionGiantStrengthFrostDescription","When you drink this potion, your STR becomes 23 for 1 hour."
"PotionGiantStrengthFrostTitle","Potion of Giant Strength (Frost)"
"PotionGiantStrengthHillDescription","When you drink this potion, your STR becomes 21 for 1 hour."
"PotionGiantStrengthHillTitle","Potion of Giant Strength (Hill)"
"PotionHealingRemedyDescription","Contains a shimmering liquid. Heals some of your lost HP when drunk."
"PotionHealingRemedyTitle","Healing Remedy"
"PotionOfClimbingDescription","When you drink this potion, you can climb like a spider for 1 hour."
"PotionOfClimbingTitle","Potion of Climbing"
"PotionOfFlyingDescription","When you drink this potion, you can fly for 1 hour."
"PotionOfFlyingTitle","Potion of Flying"
"PotionOfGreaterHealingDescription","Contains a shimmering liquid. Heals some of your lost HP when drunk."
"PotionOfGreaterHealingTitle","Potion of Greater Healing"
"PotionOfHealingDescription","Contains a shimmering liquid. Heals some of your lost HP when drunk."
"PotionOfHealingTitle","Potion of Healing"
"PotionOfHeroismDescription","Drinking this potion grants you additional hit points for a time, plus the effects of a bless spell."
"PotionOfHeroismTitle","Potion of Heroism"
"PotionOfInvisibilityDescription","Turns you invisible for 1 hour."
"PotionOfInvisibilityTitle","Potion of Invisibility"
"PotionOfSpeedDescription","Drinking this potion replicates the effect of a haste spell on you. Requires concentration."
"PotionOfSpeedTitle","Potion of Speed"
"PotionOfSuperiorHealingDescription","Contains a shimmering liquid. Heals some of your lost HP when drunk."
"PotionOfSuperiorHealingTitle","Potion of Superior Healing"
"PotionofwaterbreatingDescription","Contains a shimmering liquid. Heals some of your lost HP when drunk."
"PotionofwaterbreatingTitle","Healing Remedy"
"PouchDescription","A leather and cloth pouch used to stack small items."
"PouchTitle","Pouch"
"PriestPackTitle","Priest's Pack"
"QuarterstaffTypeTitle","Quarterstaff"
"RapierTypeTitle","Rapier"
"ReachTitle","Reach"
"RingDetectInvisibleDescription","This ring reveals invisible creatures up to 12 cells away."
"RingDetectInvisibleTitle","Ring of Detect Invisible"
"RingOfProtection_plus_one_Description","A beautifully crafted silver ring bearing a shield design."
"ScaleArmorPlus+1_Title","Scale Armor +1"
"ScaleArmorPlus1_Description","This armor was used by scouts in the Manacalon army. It probably belonged to a noble soldier and is imbued with magic, providing additional defense."
"ScaleArmorPlus1_Unidentified_Description","This finely decorated armor shows the skill of the ancient Manacalon armorers."
"ScaleArmorPlus1_Unidentified_Title","Magnificent Scale Armor"
"ScholarPackTitle","Scholar's Pack"
"ScimitarTypeTitle","Scimitar"
"ScrollAcidArrowDescription","When you use this scroll, you cast the acid arrow spell."
"ScrollAcidArrowTitle","Scroll of Acid Arrow"
"ScrollBaneDescription","When you use this scroll, you cast the Bane spell."
"ScrollBaneTitle","Scroll of Bane"
"ScrollBarkskinDescription","When you use this scroll, you cast the Barkskin spell."
"ScrollBarkskinTitle","Scroll of Barkskin"
"ScrollBlessDescription","When you use this scroll, you cast the Bless spell."
"ScrollBlessTitle","Scroll of Bless"
"ScrollBurningHandsDescription","When you use this scroll, you cast the burning hands spell."
"ScrollBurningHandsTitle","Scroll of Burning Hands"
"ScrollColorSprayDescription","When you use this scroll, you cast the spell Color Spray."
"ScrollColorSprayTitle","Scroll of Color Spray"
"ScrollCureWoundsDescription","When you use this scroll, you cast the Cure Wounds spell."
"ScrollCureWoundsTitle","Scroll of Cure Wounds"
"ScrollExpeditiousRetreatDescription","When you use this scroll, you cast the Expeditious Retreat spell."
"ScrollExpeditiousRetreatTitle","Scroll of Expeditious Retreat"
"ScrollFireballDescription","When you use this scroll, you cast the Fireball spell."
"ScrollFireballTitle","Scroll of Fireball"
"ScrollFogCloudDescription","When you use this scroll, you cast the spell Fog Cloud."
"ScrollFogCloudTitle","Scroll of Fog Cloud"
"ScrollGreaseDescription","When you use this scroll, you cast the Grease spell."
"ScrollGreaseTitle","Scroll of Grease"
"ScrollGuidingBoltDescription","When you use this scroll, you cast the Guiding Bolt spell."
"ScrollGuidingBoltTitle","Scroll of Guiding Bolt"
"ScrollHideousLaughterDescription","When you use this scroll, you cast the Hideous Laughter spell."
"ScrollHideousLaughterTitle","Scroll of Hideous Laughter"
"ScrollHoldPersonDescription","When you use this scroll, you cast the Hold Person spell."
"ScrollHoldPersonTitle","Scroll of Hold Person"
"ScrollIdentifyDescription","When you use this scroll, you cast the Identify spell."
"ScrollIdentifyTitle","Scroll of Identify"
"ScrollJumpDescription","When you use this scroll, you cast the Jump spell."
"ScrollJumpTitle","Scroll of Jump"
"ScrollKitToolTypeDescription","Contains the necessary tools and materials to prepare magical ink and craft spell scrolls."
"ScrollKitToolTypeTitle","Scroll Kit"
"ScrollLesserRestorationDescription","When you use this scroll, you cast the Lesser Restoration spell."
"ScrollLesserRestorationTitle","Scroll of Lesser Restoration"
"ScrollLightningBoltDescription","When you use this scroll, you cast the Lightning Bolt spell."
"ScrollLightningBoltTitle","Scroll of Lightning Bolt"
"ScrollMageArmorDescription","When you use this scroll, you cast the Mage Armor spell."
"ScrollMageArmorTitle","Scroll of Mage Armor"
"ScrollMagicMissileDescription","When you use this scroll, you cast the Magic Missile spell."
"ScrollMagicMissileTitle","Scroll of Magic Missile"
"ScrollProtectionFromEvilandGoodDescription","When you use this scroll, you cast the Protection from Evil and Good spell."
"ScrollProtectionFromEvilandGoodTitle","Scroll of Protection from Evil and Good"
"ScrollRaiseDeadDescription","When you use this scroll, you cast the Raise Dead spell."
"ScrollRaiseDeadTitle","Scroll of Raise Dead"
"ScrollRevivifyDescription","When you use this scroll, you cast the Revivify spell."
"ScrollRevivifyTitle","Scroll of Revivify"
"ScrollScorchingRayDescription","When you use this scroll, you cast the Scorching Ray spell."
"ScrollScorchingRayTitle","Scroll of Scorching Ray"
"ScrollShieldOfFaithDescription","When you use this scroll, you cast the Shield of Faith spell."
"ScrollShieldOfFaithTitle","Scroll of Shield of Faith"
"ScrollSleepDescription","When you use this scroll, you cast the Sleep spell."
"ScrollSleepTitle","Scroll of Sleep"
"ScrollThunderwaveDescription","When you use this scroll, you cast the Thunderwave spell."
"ScrollThunderwaveTitle","Scroll of Thunderwave"
"Sellsword_Background_Quest_Document_01","Dear friend, now that you have saved the Baron, I must speak to you about certain matters from the past that I am now at liberty to divulge. I was not entirely candid with you during your last visit. Would you stop by the next time you are in Coparann?

Clear skies to you,

Mildred Warmhearth"
"Sellsword_Background_Quest_Document_02","Dearest child,

We shall soon meet our fate, your mother and I. An old friend will deliver this letter to you when reach the point where you are searching for meaning and answers in life. 

What we did, we did to protect you, even though it may be difficult to believe. It is a hard thing to leave a child alone in the world, but it is better than some other fates. 

We were not strong enough to resist temptation, but we will be strong enough not to let evil triumph in the end."
"Sellsword_Background_Quest_Document_03","Report to me at once! Remember, we are always watching - and if you even think of betraying us, your child will be the first to suffer! We are everywhere! I expect your next report in two days!"
"Shield_plus_1_Description","A light and sturdy magical shield, used by Manacalon Imperial shock troops."
"Shield_plus_1_Title","Shield +1"
"Shield_plus_1_Unidentified_Description","This metal shield is of magnificent workmanship, with mystical runes on its surface."
"Shield_plus_1_Unidentified_Title","Magnificent Shield"
"Shield_plus_2_Description","A powerful magical shield used by the Tirmarian Golden Cavalry at the time of the Cataclysm."
"Shield_plus_2_Title","Shield +2"
"ShieldCategoryDescription","A shield is made of wood or metal and is carried in one hand. You can only benefit from one shield at a time."
"ShieldCategoryTitle","Shield"
"Shortbow_plus_1_Description","A superbly balanced enchanted shortbow from the Manacalon era, used by the Imperial scout corps."
"Shortbow_plus_1_Title","Shortbow +1"
"Shortbow_plus_1_Unidentified_Description","This superbly balanced shortbow is engraved with ancient runes."
"Shortbow_plus_1_Unidentified_Title","Magnificent Shortbow"
"ShortbowPlus1TypeTitle","Shortbow+1"
"ShortbowTypeTitle","Shortbow"
"ShortswordTypeTitle","Shortsword"
"SickleTypeTitle","Sickle"
"SimpleWeaponCategoryDescription","The simplest types of weapons that most people can use with proficiency, but not everyone."
"SimpleWeaponCategoryTitle","Simple Weapons"
"SlingTypeTitle","Sling"
"SpearTypeTitle","Spear"
"SpellbookCapacityDescription","Used pages: {0}/{1}"
"SpellbookContainsDescription","Spells: {0}"
"SpellbookDescription","Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells."
"SpellbookTitle","Spellbook"
"StaffOfFireDescription","Another creation of Lanathir Goldenfire, no mere trinket but a mighty weapon in the right hands. "
"StaffOfFireTitle","Staff of Fire"
"StaffSpecialDescription","A beautiful staff, possibly more than it seems at first glance."
"StaffSpecialTitle","Superior Staff"
"StarterPackGeneralDescription","A starter pack contains everything a character needs to start an adventuring life."
"StartingWealth10GPDescription","Your Savings"
"StartingWealth10GPTitle","10 gold pieces"
"StartingWealth15GPDescription","Your Savings"
"StartingWealth15GPTitle","15 gold pieces"
"StartingWealth25GPDescription","Your Savings"
"StartingWealth25GPTitle","25 gold pieces"
"StartingWealth40GPDescription","Your Savings"
"StartingWealth40GPTitle","40 gold pieces"
"ThievesToolTypeDescription","Contains a small file, a set of lock picks, a small mirror mounted on a metal handle, a set of narrow-bladed scissors, and a pair of pliers, useful for disarming traps and opening locks."
"ThievesToolTypeTitle","Thieves' Tools"
"ToM_ArchaeologicalNotes_01_Content","This Manacalon woman was probably a high-ranking wizard. She might have been living here, east of the Inner Empire…<i>Various notes about the statue follow.</i>"
"ToM_ArchaeologicalNotes_01_Description","Notes about a possible Manacalon master of magic, based on a statue discovered in the ruined tower."
"ToM_ArchaeologicalNotes_01_Title","Archaeological Notes"
"ToM_ArchaeologicalNotes_02_Content","This statue represents a humanoid dragon, wearing classical Manacalon wizards' robes. A scholar might know what that means."
"ToM_ArchaeologicalNotes_02_Description","Notes on a strange statue found in the ruined tower in the Badlands."
"ToM_ArchaeologicalNotes_02_Title","Archaeological Notes"
"ToM_ArchaeologicalNotes_03_Content","This statue is in a classic pose used for Emperors. An inscription names Lerithir Imradir."
"ToM_ArchaeologicalNotes_03_Description","Notes about a statue of Lerithir Imradir, the last Emperor of Manacalon. This means the tower was active when the Cataclysm struck."
"ToM_ArchaeologicalNotes_03_Title","Archaeological Notes"
"ToM_SecretSpellbook_Content","This spellbook is impossible to open. It might have been magically closed by its owner before the Cataclysm! Who knows what spells it might contain? Find someone who can open it."
"ToM_SecretSpellbook_Description","A magically closed spellbook from the Manacalon era."
"ToM_SecretSpellbook_Title","Secret Spellbook"
"ToM_SorakHead_Description","This disgusting package is the proof the Legacy Council needs. The Sorr-Akkath are not just a myth!"
"ToM_SorakHead_Title","Sorak Head"
"TorchHolderTitle","Torch Holder"
"TorchTitle","Torch"
"TowerOfMagic_Myth_Document_Content","It has by many been Observed that the major folks of old Solasta have in each case an Affinity toward one of the Classical Elements: the ancient Elves were unto Air, the Dwarves unto Earthe, and the Halfelinges unto Water. 
Though many others dispute this Hypothesis, there are Several Compelling Arguments in its Favour, and such Questions as remain Unanswered may be considered Insufficient to constitute a Comprehensive and Satisfactory Refutation. 
The Elves of the most Ancient Times were High Elves, without Exception. 
The Sylvan breed came about from a Schism among their people, which accompanied the Founding of the Manacalonne Empire. 
Some, dissatisfied with the Firmnesse of its Rule and voicing many Complaintes of Tyrranie, withdrew themselves…
"
"TowerOfMagic_Myth_Document_Description","An old book written in Dwarvish."
"TowerOfMagic_Myth_Document_Title","Myths of Solasta"
"TowerOfMagic_SorakOrders_Content","It must be somewhere within the old tower. If you find It, send for the Tshar. Protect It with your lives."
"TowerOfMagic_SorakOrders_Description","A letter found on the corpse of a Sorr-Akkath, close to the Crown."
"TowerOfMagic_SorakOrders_Title","Sorr-Akkath Letter"
"TowerOfMagic_WorkerLetter_Content","The others have given up. But I can escape, maybe. I hope I can reach home before them. They would kill everyone, I know they would. They would kill my children without hesitation. They are pure evil."
"TowerOfMagic_WorkerLetter_Description","A letter found on the corpse of a human worker near the ruined tower."
"TowerOfMagic_WorkerLetter_Title","Worker's Letter"
"TridentTypeTitle","Trident"
"UnarmedStrikeBaseTitle","Bare Hands"
"Unidentified_Potion_Description","This flask contains a shimmering liquid - possibly magical, but unidentified."
"Unidentified_Potion_Title","Unidentified Potion"
"UnidentifiedWeaponDescription","This weapon is obviously of superior make, and could reveal more qualities."
"WandDetectMagicDescription","Casts the spell detect magic by expending one charge. The wand has 3 charges and regains 1d3 charges each dawn."
"WandDetectMagicTitle","Wand of Magic Detection"
"WandFearTitle","Wand of Fear"
"WandLightningBoltsTitle","Wand of Lightning Bolts"
"WandMagicMissileTitle","Wand of Magic Missile"
"WandSpecialDescription","A wand of superior craftsmanship, possibly with unknown qualities."
"WandSpecialTitle","Magnificent Wand"
"WarhammerTypeTitle","Warhammer"
"WarpickTypeTitle","War Pick"
"WeaponTagAmmunitionTitle","Ammunition"
"WeaponTagFinesseTitle","Finesse"
"WeaponTagHeavyTitle","Heavy"
"WeaponTagLightTitle","Light"
"WeaponTagLoadingTitle","Loading"
"WeaponTagReachTitle","Reach"
"WeaponTagThrownTitle","Thrown"
"WeaponTagTwoHandedTitle","Two-Handed"
"WeaponTagVersatileTitle","Versatile"
"WhipTypeTitle","Whip"
"Kickstarter_Item_Golden_Key_Description","A golden key of incredible complexity, crafted by the clockmasters of the Manacalon Empire."
"Kickstarter_Item_Golden_Key_Title","Golden Key"
"Kickstarter_Item_Letter_Content","ORDER OF CONFISCATION
As punishment for repeated disregard of the regulations of the Iron Legion, and notably Order V.I, His Lordship Ceynnian Brightspell has ordered as follows:
1. All of your distinctive equipment pertaining to the Iron Legion is confiscated until further notice. Your duties will be continued with standard infantry equipment.
2. Your pay from the Iron Legion for this month shall be forfeited.

Captain Alsiweyr Highcloud"
"Kickstarter_Item_Letter_Description","An old letter dating from Imperial times, sealed with red wax."
"kickstarter_item_Letter_Title","Letter"
"kickstarter_item_Notebook_Description","A notebook, covered in finely-tooled leather and probably imbued with protective magic. It contains handwritten notes from a citizen of the ancient Manacalon Empire, and might contain valuable information about the pre-Cataclysm era."
"kickstarter_item_Notebook_Title","Notebook"
"kickstarter_item_Spider_Symbol_Content","Shak Agul Zog Khorak Kolzil"
"kickstarter_item_Spider_Symbol_Description","A small, bone plaque bearing a crudely-painted spider symbol. Probably crafted by orcs."
"kickstarter_item_Spider_Symbol_Title","Orc Plaque"
"kickstarter_item_Testament_Content","I, Brandil Sharpleaf, being of sound mind and body, do hereby bequeath the entirety of my worldly possessions to Lady Elyria Greenblade if death should find me during the upcoming battles against the human invaders. To my wife and children, I…

The rest of the letter is missing."
"kickstarter_item_Testament_Description","An old, slightly tattered letter"
"kickstarter_item_Testament_Title","Testament"
"ContainerHarvestable_Angry_Bush_Title","Angry Bush"
"ContainerHarvestable_Angry_Bush_Description","A small bush found on the Eastern Kingdoms and the Badlands that produces Angry Violets."
"ContainerHarvestable_MagnesiumDeposit_Title","Magnesium Deposit"
"ContainerHarvestable_MagnesiumDeposit_Description","A natural heap of powdered magnesium."
"ContainerHarvestable_Mosspatch_Title","Moss Patch"
"ContainerHarvestable_Mosspatch_Description","A patch of deep moss that produces useful ingredients on a regular basis."
"ContainerHarvestable_GallivanThicket_Title","Amaranth Thicket"
"ContainerHarvestable_GallivanThicket_Description","A small thicket that produces the beloved Gallivan Amaranth."
"ContainerHarvestable_BloodBush_Title","Blood Bush"
"ContainerHarvestable_BloodBush_Description","A small bush that produces the rare Blood Daffodil."
"ContainerHarvestable_AcidPuddle_Title","Acid Puddle"
"ContainerHarvestable_AcidPuddle_Description","A naturally occurring puddle of acid."
"ContainerHarvestable_TrollBramble_Title","Troll Bramble"
"ContainerHarvestable_TrollBramble_Description","An ugly bramble that looks like a hairy troll arm and produces the surprisingly beautiful Troll Acanthus."
"ContainerHarvestable_SkarnRock_Title","Skarn Rock"
"ContainerHarvestable_SkarnRock_Description","A small greenish rock that can be ground to fine Skarn Powder."
"ContainerHarvestable_DeepRoot_Title","Deep Root"
"ContainerHarvestable_DeepRoot_Description","A magically mutated root covered with precious Deep Root Lichen."
"ContainerHarvestable_QueenVine_Title","Queen Vine"
"ContainerHarvestable_QueenVine_Description","A rare and beautiful vine that produces the exquisite Queen Ivy."
"ContainerHarvestable_MoonShruberry_Title","Moon Shrub"
"ContainerHarvestable_MoonShruberry_Description","A rare shrub that produces the rare and very useful Moonflower."
"ContainerHarvestable_SerpentRock_Title","Serpent Rock"
"ContainerHarvestable_SerpentRock_Description","A rare protruding rock that can be ground to Serpentinite Dust."
"ContainerHarvestable_Imperial Vine_Title","Imperial Vine"
"ContainerHarvestable_Imperial Vine_Description","A rare vine found mostly near patches of chaotic magic in the Badlands that produces the Emperor's Eye Mush."
"ContainerHarvestable_DragonBramble_Title","Dragon Bramble"
"ContainerHarvestable_DragonBramble_Description","A green bramble that grows one Dragonrose every few days."
"ContainerHarvestable_BrownPatch_Title","Brown Patch"
"ContainerHarvestable_BrownPatch_Description","This disgusting thing looks like a goblin turd but is actually a very useful fungus known as Goblin Hair Fungus."
"ContainerHarvestable_StormBriar_Title","Storm Briar"
"ContainerHarvestable_StormBriar_Description","This vividly colored briar produces the very useful Storm Heather."
"ContainerHarvestable_DwarvenThicket_Title","Dwarven Thicket"
"ContainerHarvestable_DwarvenThicket_Description","This plant grows the rare and fragile Dwarven Primrose."
"ContainerHarvestable_OrchidBush_Title","Orchid Bush"
"ContainerHarvestable_OrchidBush_Description","This small bush grows only in extreme conditions, supported by the magic flow of the Badlands, and produces the Manacalon Orchid, a flower seen on many imperial decorations."
"ContainerHarvestable_BadlandsBriar_Title","Badlands Briar"
"ContainerHarvestable_BadlandsBriar_Description","This briar is found mostly deep in the Badlands, and produces one of the rarest flowers in Solasta, the Lily of the Badlands."
"Necromancy_AngbisJournal_Title","A handwritten, leather-bound book"
"Necromancy_AngbisJournal_Description","The Journal of Angbi Kramsson, of the Guild of Antiquarians."
"Necromancy_AngbisJournal_Content01","If found, please return to the Guild of Antiquarians at Caer Cyflen. A reward will be offered."
"Necromancy_AngbisJournal_Content02","Surroundings, continued …castle architecture is of First Expansion style, with many repairs and additions. A standard founding plaque: ""Caer Tenarion"", built by the 25th Iron Legion in the 24th year of Gwaltrian the Third - year 1557 in the Manacalon calendar, or 1486 before the Cataclysm. Presumably built to pacify the surrounding area."
"Necromancy_AngbisJournal_Content03","Later, same day. My initial impression confirmed: the castle is occupied. I encountered a patrol of skeletons led by a wraith who gave his name as Adam the Twelfth, a former Imperial officer and now captain of the castle's guard. He questioned me closely and gave me permission to research outside the castle, but not to approach the castle or try to enter. The lord, whose name he gave as Mardracht, does not receive visitors. Indeed, the captain admitted that he himself had not seen or spoken with his master in several centuries."
"Necromancy_AngbisJournal_Content04","Graveyard, continued …no gravestone shows a burial date later than the Cataclysm: no new burials in more than a thousand years. Possibly all in the castle are undead, like their guards. Impossible to confirm since I am refused admission."
"Necromancy_AngbisJournal_Content05","Substantial mausoleum at far end of the cemetery, built in First Expansion style. Inscription over doorway names 25th Iron Legion. Presumably officers were buried inside (and possibly in catacombs beneath, if the building filled up over time) while lower ranks occupy the surrounding graveyard."
"Necromancy_AngbisJournal_Content06","The following day, continued …as I continued to document the graveyard, a pack of wolves arrived from the north, led by a human man - or so he seemed. Met by captain and guards. Conversed for several minutes, manner guarded but not unfriendly. The captain pointed in my direction, clearly informing the man of my presence. No one in the group showed any interest in me."
"Necromancy_AngbisJournal_Content07","Later, same day: An elven woman came out of the mausoleum, accompanied by several others: elves and humans, all apparently alive. They could not have entered the mausoleum without my seeing them. Two questions arise:"
"Necromancy_AngbisJournal_Content08","Another way into the mausoleum? Possible catacombs beneath - underground passage into the castle?"
"Necromancy_AngbisJournal_Content09","2. Living souls in the castle, yet no burials newer than 1,000 years? Two possibilities: life magically prolonged (necromancy? Fits with undead guard I encountered) and/or bodies not buried upon death (also compatible with necromancy)."
"Necromancy_AngbisJournal_Content10","I watched from hiding as they explored the graveyard, apparently looking for something (me?). Extreme caution is indicated from now on."
"Necromancy_LizzariasJournal_Title","Lizzaria's Journal"
"Necromancy_LizzariasJournal_Description","A series of hand-written pages"
"Necromancy_LizzariasJournal_Content01","…upstairs to try to speak with Mardracht about it, but Aksha said he was resting and had left orders not to be disturbed - as usual. She offered to pass on a message - so helpful! - but I know it will never reach him."
"Necromancy_LizzariasJournal_Content02","For all I know she's told him I'm dead. She may be planning to make it true. He's so shaken and addled from the Cataclysm, he'd probably believe her. She could have killed him already - he could have been dead for centuries - but no: his magical defenses are still in place. He must be alive."
"Necromancy_LizzariasJournal_Content03","If only I could reach him - free him from her influence - but I can't get past her and her ghouls. So frustrating! I need to arrange a sudden meeting with a wooden stake, but she's careful."
"Necromancy_LizzariasJournal_Content04","Adam's no help. He won't join me against Aksha without orders from Mardracht, which of course can't come because she's got him isolated. How blind is he not to see that - I'll never yield the castle to her, no matter what she does. While Mardracht lives, I have to keep trying to save him."
"Necromancy_LizzariasJournal_Content05","…searching the graveyard as usual. The dwarf was there - he always thought I didn't see him, but I did - but now he's a ghost. Adam said he was an Antiquarian, some sort of scholar, so I tried to control him and find out what he knows."
"Necromancy_LizzariasJournal_Content06","I was over-eager, though, and he got away. An opportunity lost. He might know something that could help me get past Aksha and her ghouls and free Mardracht from her influence. Someday, somehow, I will get rid of her. I will."
"Necromancy_MardrachtsJournal_Title","Mardracht's Journal"
"Necromancy_MardrachtsJournal_Description","A series of hand-written pages"
